metabolite,numerator,denominator,p-value,q-value,FC
eicosenoate (20:1),GL405,CL2355,0.5660,0.4961,0.64
erucate (22:1n9),GL405,CL2355,0.5820,0.5023,0.66
tetradecadienoate (14:2)*,GL405,CL2355,0.2520,0.3452,0.32
hexadecatrienoate (16:3n3),GL405,CL2355,0.3208,0.3895,2.06
heptadecatrienoate (17:3)*,GL405,CL2355,0.0706,0.1850,2.98
stearidonate (18:4n3),GL405,CL2355,0.0852,0.1975,2.27
eicosapentaenoate (EPA; 20:5n3),GL405,CL2355,0.4959,0.4753,1.4
docosapentaenoate (n3 DPA; 22:5n3),GL405,CL2355,0.6289,0.5216,1.29
docosatrienoate (22:3n3),GL405,CL2355,0.9640,0.6321,0.91
hexadecadienoate (16:2n6),GL405,CL2355,0.2410,0.3409,1.8
linoleate (18:2n6),GL405,CL2355,0.7455,0.5637,1.13
linolenate [alpha or gamma; (18:3n3 or 6)],GL405,CL2355,0.1103,0.2262,2.37
dihomo-linoleate (20:2n6),GL405,CL2355,0.1203,0.2379,0.34
dihomo-linolenate (20:3n3 or n6),GL405,CL2355,0.5796,0.5014,1.27
arachidonate (20:4n6),GL405,CL2355,0.4122,0.4372,1.21
docosadienoate (22:2n6),GL405,CL2355,0.0803,0.1972,0.31
(12 or 13)-methylmyristate (a15:0 or i15:0),GL405,CL2355,0.4794,0.4665,1.4
(14 or 15)-methylpalmitate (a17:0 or i17:0),GL405,CL2355,0.3637,0.4131,0.58
(16 or 17)-methylstearate (a19:0 or i19:0),GL405,CL2355,0.8464,0.5912,0.86
glutarate (C5-DC),GL405,CL2355,0.0434,0.1537,11.49
2-hydroxyglutarate,GL405,CL2355,0.5110,0.4812,1.34
3-hydroxyadipate,GL405,CL2355,0.8074,0.5863,0.81
maleate,GL405,CL2355,0.2620,0.3531,2.05
suberate (C8-DC),GL405,CL2355,0.2019,0.3190,0.44
azelate (C9-DC),GL405,CL2355,0.7558,0.5664,1.1
sebacate (C10-DC),GL405,CL2355,0.9781,0.6324,1.02
dodecanedioate (C12-DC),GL405,CL2355,0.7736,0.5723,0.93
dodecadienoate (12:2)*,GL405,CL2355,0.5245,0.4868,0.68
tetradecanedioate (C14-DC),GL405,CL2355,0.5523,0.4935,1.18
hexadecanedioate (C16-DC),GL405,CL2355,0.9909,0.6324,1.02
hexadecenedioate (C16:1-DC)*,GL405,CL2355,0.4997,0.4771,0.55
octadecanedioate (C18-DC),GL405,CL2355,0.5579,0.4947,0.77
octadecenedioate (C18:1-DC),GL405,CL2355,0.7769,0.5727,0.92
octadecadienedioate (C18:2-DC)*,GL405,CL2355,0.3378,0.3976,0.55
nonadecanedioate (C19-DC),GL405,CL2355,0.7168,0.5580,1.09
propionylcarnitine (C3),GL405,CL2355,0.8122,0.5871,0.83
methylmalonate (MMA),GL405,CL2355,0.8949,0.6058,1.63
acetylcarnitine (C2),GL405,CL2355,0.0828,0.1975,0.5
octanoylcarnitine (C8),GL405,CL2355,0.3194,0.3892,0.59
"cis-3,4-methyleneheptanoylcarnitine",GL405,CL2355,0.7125,0.5580,0.69
pentadecanoylcarnitine (C15)*,GL405,CL2355,0.5528,0.4935,0.68
palmitoylcarnitine (C16),GL405,CL2355,0.4461,0.4498,0.64
margaroylcarnitine (C17)*,GL405,CL2355,0.4500,0.4500,0.63
stearoylcarnitine (C18),GL405,CL2355,0.8508,0.5912,0.87
arachidoylcarnitine (C20)*,GL405,CL2355,0.6134,0.5147,0.78
behenoylcarnitine (C22)*,GL405,CL2355,0.3194,0.3892,0.59
lignoceroylcarnitine (C24)*,GL405,CL2355,0.2569,0.3490,0.67
cerotoylcarnitine (C26)*,GL405,CL2355,0.9781,0.6324,1.01
3-decenoylcarnitine,GL405,CL2355,0.8643,0.5976,0.8
cis-4-decenoylcarnitine (C10:1),GL405,CL2355,0.3887,0.4284,1.64
undecenoylcarnitine (C11:1),GL405,CL2355,0.9355,0.6224,1.07
5-dodecenoylcarnitine (C12:1),GL405,CL2355,0.6536,0.5307,0.73
myristoleoylcarnitine (C14:1)*,GL405,CL2355,0.7347,0.5626,0.84
palmitoleoylcarnitine (C16:1)*,GL405,CL2355,0.5689,0.4972,0.68
oleoylcarnitine (C18:1),GL405,CL2355,0.3848,0.4261,0.48
eicosenoylcarnitine (C20:1)*,GL405,CL2355,0.2914,0.3679,0.53
linoleoylcarnitine (C18:2)*,GL405,CL2355,0.0301,0.1282,0.16
dihomo-linoleoylcarnitine (C20:2)*,GL405,CL2355,0.0281,0.1260,0.12
arachidonoylcarnitine (C20:4),GL405,CL2355,0.2939,0.3679,0.35
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,GL405,CL2355,0.2260,0.3311,0.37
(R)-3-hydroxybutyrylcarnitine,GL405,CL2355,0.0169,0.0919,0.29
(S)-3-hydroxybutyrylcarnitine,GL405,CL2355,0.0741,0.1882,0.28
3-hydroxyoctanoylcarnitine (1),GL405,CL2355,0.1069,0.2225,0.45
3-hydroxydecanoylcarnitine,GL405,CL2355,0.2685,0.3573,0.52
3-hydroxyoleoylcarnitine,GL405,CL2355,0.6472,0.5284,0.76
deoxycarnitine,GL405,CL2355,0.8979,0.6066,1.02
carnitine,GL405,CL2355,0.4142,0.4372,1.28
3-hydroxybutyrate (BHBA),GL405,CL2355,0.0969,0.2109,0.19
acetylcholine,GL405,CL2355,0.0013,0.0398,0.26
myristoylcholine*,GL405,CL2355,0.1163,0.2350,2.79
palmitoylcholine,GL405,CL2355,0.0056,0.0617,0.32
oleoylcholine,GL405,CL2355,0.1451,0.2668,0.39
linoleoylcholine*,GL405,CL2355,0.1872,0.3067,0.43
stearoylcholine*,GL405,CL2355,0.1437,0.2661,0.42
arachidonoylcholine,GL405,CL2355,0.1559,0.2738,0.5
eicosapentaenoylcholine,GL405,CL2355,0.2815,0.3632,0.52
4-hydroxybutyrate (GHB),GL405,CL2355,0.0729,0.1882,2.7
2-hydroxystearate,GL405,CL2355,0.5459,0.4935,1.32
2-hydroxybehenate,GL405,CL2355,0.9973,0.6324,0.97
2-hydroxylignocerate*,GL405,CL2355,0.0467,0.1539,1.83
3-hydroxyvalerate,GL405,CL2355,0.0834,0.1975,0.31
3-hydroxyhexanoate,GL405,CL2355,0.0150,0.0868,0.09
3-hydroxyoctanoate,GL405,CL2355,0.1598,0.2787,0.46
3-hydroxylaurate,GL405,CL2355,0.4098,0.4372,0.64
3-hydroxymyristate,GL405,CL2355,0.0440,0.1539,0.43
3-hydroxystearate,GL405,CL2355,0.8267,0.5888,1.1
5-hydroxyhexanoate,GL405,CL2355,0.9909,0.6324,0.92
8-hydroxyoctanoate,GL405,CL2355,0.6578,0.5309,0.89
"12,13-DiHOME",GL405,CL2355,0.2606,0.3521,0.45
"9,10-DiHOME",GL405,CL2355,0.2276,0.3315,0.38
"2S,3R-dihydroxybutyrate",GL405,CL2355,0.2115,0.3247,0.23
"2R,3R-dihydroxybutyrate",GL405,CL2355,0.0466,0.1539,2.08
"17,18-DiHETE",GL405,CL2355,0.5414,0.4917,1.17
5-HEPE,GL405,CL2355,0.4352,0.4453,1.55
oleoyl ethanolamide,GL405,CL2355,0.2045,0.3206,0.47
myristoyl ethanolamide,GL405,CL2355,0.9776,0.6324,0.94
palmitoyl ethanolamide,GL405,CL2355,0.5459,0.4935,1.36
stearoyl ethanolamide,GL405,CL2355,0.6119,0.5143,0.79
eicosapentaenoyl ethanolamide,GL405,CL2355,0.0518,0.1599,0.26
arachidonoyl ethanolamide,GL405,CL2355,0.8945,0.6058,0.85
linoleoyl ethanolamide,GL405,CL2355,0.5319,0.4877,0.63
linolenoyl ethanolamide,GL405,CL2355,0.7156,0.5580,1.18
palmitoleoyl ethanolamide*,GL405,CL2355,0.2534,0.3462,0.6
margaroyl ethanolamide*,GL405,CL2355,0.6944,0.5512,0.81
myo-inositol,GL405,CL2355,0.1913,0.3112,0.52
chiro-inositol,GL405,CL2355,0.0051,0.0617,0.21
choline,GL405,CL2355,0.1930,0.3120,1.4
choline phosphate,GL405,CL2355,0.0994,0.2131,2.83
cytidine 5'-diphosphocholine,GL405,CL2355,0.1087,0.2244,2.66
glycerophosphorylcholine (GPC),GL405,CL2355,0.3902,0.4291,1.49
phosphoethanolamine,GL405,CL2355,0.3126,0.3851,1.44
cytidine-5'-diphosphoethanolamine,GL405,CL2355,0.0325,0.1282,4.9
glycerophosphoethanolamine,GL405,CL2355,0.1462,0.2668,2.92
glycerophosphoserine*,GL405,CL2355,0.5037,0.4790,0.72
glycerophosphoinositol*,GL405,CL2355,0.5494,0.4935,0.73
trimethylamine N-oxide,GL405,CL2355,0.7473,0.5637,0.81
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),GL405,CL2355,0.0287,0.1260,2.41
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),GL405,CL2355,0.7312,0.5626,1.07
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,GL405,CL2355,0.0972,0.2109,1.83
"1,2-distearoyl-GPC (18:0/18:0)",GL405,CL2355,0.0145,0.0868,2.99
1-stearoyl-2-oleoyl-GPC (18:0/18:1),GL405,CL2355,0.0660,0.1790,1.72
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,GL405,CL2355,0.0957,0.2109,1.47
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),GL405,CL2355,0.0967,0.2109,1.77
"1,2-dioleoyl-GPC (18:1/18:1)",GL405,CL2355,0.1260,0.2454,1.57
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,GL405,CL2355,0.9965,0.6324,1.02
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),GL405,CL2355,0.0000,0.0030,6.63
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,GL405,CL2355,0.1181,0.2355,2.14
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,GL405,CL2355,0.1563,0.2738,1.48
"1,2-dipalmitoyl-GPE (16:0/16:0)*",GL405,CL2355,0.2136,0.3250,0.37
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,GL405,CL2355,0.5771,0.5014,0.73
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),GL405,CL2355,0.6810,0.5424,0.82
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,GL405,CL2355,0.0148,0.0868,2.35
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,GL405,CL2355,0.0054,0.0617,0.16
1-stearoyl-2-oleoyl-GPE (18:0/18:1),GL405,CL2355,0.5074,0.4805,1.31
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,GL405,CL2355,0.8014,0.5836,1.17
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),GL405,CL2355,0.0145,0.0868,2.03
"1,2-dioleoyl-GPE (18:1/18:1)",GL405,CL2355,0.1695,0.2838,0.69
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,GL405,CL2355,0.7502,0.5650,1.09
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,GL405,CL2355,0.4540,0.4503,1.39
"1,2-dilinoleoyl-GPE (18:2/18:2)*",GL405,CL2355,0.8234,0.5888,1.09
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),GL405,CL2355,0.0310,0.1282,1.6
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),GL405,CL2355,0.0185,0.0968,0.14
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,GL405,CL2355,0.2289,0.3315,0.3
1-stearoyl-2-oleoyl-GPG (18:0/18:1),GL405,CL2355,0.5507,0.4935,0.77
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),GL405,CL2355,0.0057,0.0617,3.14
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),GL405,CL2355,0.0941,0.2104,1.78
1-palmitoyl-GPC (16:0),GL405,CL2355,0.0425,0.1528,3.81
1-palmitoleoyl-GPC (16:1)*,GL405,CL2355,0.0456,0.1539,5.62
1-stearoyl-GPC (18:0),GL405,CL2355,0.0777,0.1933,3.25
1-oleoyl-GPC (18:1),GL405,CL2355,0.0222,0.1065,3.71
1-linoleoyl-GPC (18:2),GL405,CL2355,0.1170,0.2352,2.69
1-linolenoyl-GPC (18:3)*,GL405,CL2355,0.0558,0.1652,10.33
1-arachidonoyl-GPC (20:4n6)*,GL405,CL2355,0.0279,0.1260,2.84
1-lignoceroyl-GPC (24:0),GL405,CL2355,0.7664,0.5710,0.77
1-palmitoyl-GPE (16:0),GL405,CL2355,0.0064,0.0654,2.98
1-stearoyl-GPE (18:0),GL405,CL2355,0.1564,0.2738,2.1
2-stearoyl-GPE (18:0)*,GL405,CL2355,0.3523,0.4044,1.87
1-oleoyl-GPE (18:1),GL405,CL2355,0.1148,0.2339,2.2
1-linoleoyl-GPE (18:2)*,GL405,CL2355,0.1087,0.2244,2.18
1-arachidonoyl-GPE (20:4n6)*,GL405,CL2355,0.3481,0.4031,1.52
1-stearoyl-GPS (18:0)*,GL405,CL2355,0.1474,0.2678,2.2
1-stearoyl-GPG (18:0),GL405,CL2355,0.0516,0.1599,1.62
1-stearoyl-GPI (18:0),GL405,CL2355,0.2317,0.3345,1.86
1-oleoyl-GPI (18:1),GL405,CL2355,0.0113,0.0816,5.32
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,GL405,CL2355,0.0556,0.1652,1.74
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,GL405,CL2355,0.0330,0.1282,2.55
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),GL405,CL2355,0.0517,0.1599,1.59
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,GL405,CL2355,0.6917,0.5500,1.11
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,GL405,CL2355,0.0003,0.0253,2.93
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,GL405,CL2355,0.5284,0.4868,0.7
1-(1-enyl-oleoyl)-GPE (P-18:1)*,GL405,CL2355,0.0253,0.1167,0.4
1-(1-enyl-stearoyl)-GPE (P-18:0)*,GL405,CL2355,0.4809,0.4665,1.32
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,GL405,CL2355,0.0081,0.0741,0.43
glycerol,GL405,CL2355,0.6980,0.5532,0.76
glycerol 3-phosphate,GL405,CL2355,0.9895,0.6324,0.96
glycerophosphoglycerol,GL405,CL2355,0.1608,0.2795,0.32
1-myristoylglycerol (14:0),GL405,CL2355,0.6085,0.5143,1.33
1-pentadecanoylglycerol (15:0),GL405,CL2355,0.8488,0.5912,1.33
1-palmitoylglycerol (16:0),GL405,CL2355,0.5502,0.4935,2.21
1-palmitoleoylglycerol (16:1)*,GL405,CL2355,0.5784,0.5014,1.46
1-margaroylglycerol (17:0),GL405,CL2355,0.2374,0.3396,3.16
1-oleoylglycerol (18:1),GL405,CL2355,0.8364,0.5888,1.15
1-linoleoylglycerol (18:2),GL405,CL2355,0.7752,0.5723,1.35
1-linolenoylglycerol (18:3),GL405,CL2355,0.1306,0.2513,2.98
1-dihomo-linolenylglycerol (20:3),GL405,CL2355,0.7259,0.5606,1.27
1-arachidonylglycerol (20:4),GL405,CL2355,0.7331,0.5626,1.64
1-eicosapentaenoylglycerol (20:5)*,GL405,CL2355,0.9597,0.6320,1.22
2-palmitoleoylglycerol (16:1)*,GL405,CL2355,0.4191,0.4390,1.96
2-oleoylglycerol (18:1),GL405,CL2355,0.9398,0.6236,1.22
2-linoleoylglycerol (18:2),GL405,CL2355,0.8282,0.5888,1.63
2-arachidonoylglycerol (20:4),GL405,CL2355,0.4808,0.4665,2.01
2-eicosapentaenoylglycerol (20:5)*,GL405,CL2355,0.8262,0.5888,1.74
1-heptadecenoylglycerol (17:1)*,GL405,CL2355,0.8331,0.5888,1.26
2-heptadecenoylglycerol (17:1)*,GL405,CL2355,0.7720,0.5723,1.66
1-dihomo-linoleoylglycerol (20:2),GL405,CL2355,0.2118,0.3247,0.3
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],GL405,CL2355,0.5143,0.4830,1.22
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,GL405,CL2355,0.3515,0.4044,1.48
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,GL405,CL2355,0.0447,0.1539,2.27
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,GL405,CL2355,0.0962,0.2109,2.33
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,GL405,CL2355,0.8929,0.6058,1.15
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,GL405,CL2355,0.6502,0.5295,1.38
sphinganine,GL405,CL2355,0.3434,0.4004,1.3
phytosphingosine,GL405,CL2355,0.8402,0.5889,1.03
hexadecasphinganine (d16:0)*,GL405,CL2355,0.2287,0.3315,1.98
1-deoxysphinganine (m18:0),GL405,CL2355,0.3100,0.3835,0.6
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",GL405,CL2355,0.3939,0.4303,2.22
heptadecasphingosine (d17:1),GL405,CL2355,0.0729,0.1882,1.94
3-hydroxy-3-methylglutarate,GL405,CL2355,0.9643,0.6321,0.72
7-dehydrocholesterol,GL405,CL2355,0.5901,0.5050,1.7
4-cholesten-3-one,GL405,CL2355,0.3349,0.3970,0.24
cholate,GL405,CL2355,0.2839,0.3652,0.39
glycocholate,GL405,CL2355,0.7161,0.5580,0.49
taurocholate,GL405,CL2355,0.8188,0.5883,0.61
deoxycholate,GL405,CL2355,0.9170,0.6177,0.85
glycodeoxycholate,GL405,CL2355,0.7364,0.5626,0.6
taurodeoxycholate,GL405,CL2355,0.5640,0.4959,0.52
inosine 5'-monophosphate (IMP),GL405,CL2355,0.1376,0.2587,2.49
inosine,GL405,CL2355,0.8253,0.5888,0.91
hypoxanthine,GL405,CL2355,0.8384,0.5889,0.95
xanthine,GL405,CL2355,0.2468,0.3409,1.64
xanthosine,GL405,CL2355,0.1953,0.3139,0.35
2'-deoxyinosine,GL405,CL2355,0.0805,0.1972,0.17
urate,GL405,CL2355,0.3838,0.4261,1.28
uric acid ribonucleoside*,GL405,CL2355,0.4878,0.4707,1.35
allantoin,GL405,CL2355,0.0538,0.1625,2.81
allantoic acid,GL405,CL2355,0.4526,0.4503,2.59
adenosine 5'-monophosphate (AMP),GL405,CL2355,0.0114,0.0816,4.07
adenosine 3'-monophosphate (3'-AMP),GL405,CL2355,0.4990,0.4771,2.49
adenosine 2'-monophosphate (2'-AMP),GL405,CL2355,0.2689,0.3573,0.46
"adenosine 3',5'-cyclic monophosphate (cAMP)",GL405,CL2355,0.5277,0.4868,1.45
"adenosine-2',3'-cyclic monophosphate",GL405,CL2355,0.2931,0.3679,2.81
"adenosine 3',5'-diphosphate",GL405,CL2355,0.6688,0.5345,1.21
adenylosuccinate,GL405,CL2355,0.0288,0.1260,5.83
adenosine,GL405,CL2355,0.3333,0.3970,1.61
adenine,GL405,CL2355,0.0047,0.0617,7.22
1-methyladenine,GL405,CL2355,0.1207,0.2379,0.54
N1-methyladenosine,GL405,CL2355,0.6024,0.5126,0.64
N6-methyladenosine,GL405,CL2355,0.0740,0.1882,2.88
isopentenyl adenosine,GL405,CL2355,0.7227,0.5599,0.76
N6-carbamoylthreonyladenosine,GL405,CL2355,0.0129,0.0860,0.58
2'-deoxyadenosine 5'-monophosphate,GL405,CL2355,0.7991,0.5836,1.1
N6-succinyladenosine,GL405,CL2355,0.4063,0.4372,0.7
guanosine 5'-diphosphate (GDP),GL405,CL2355,0.3604,0.4113,0.58
guanosine 5'-monophosphate (5'-GMP),GL405,CL2355,0.0022,0.0450,11.91
guanosine 3'-monophosphate (3'-GMP),GL405,CL2355,0.7944,0.5829,0.99
"guanosine-2',3'-cyclic monophosphate",GL405,CL2355,0.5903,0.5050,1.67
guanosine,GL405,CL2355,0.3875,0.4281,1.37
guanine,GL405,CL2355,0.8210,0.5888,0.87
1-methylguanine,GL405,CL2355,0.9381,0.6233,0.97
7-methylguanine,GL405,CL2355,0.0451,0.1539,0.31
7-methylguanosine,GL405,CL2355,0.6554,0.5307,1.21
N1-methylguanosine,GL405,CL2355,0.7107,0.5580,0.8
N2-methylguanosine,GL405,CL2355,0.0321,0.1282,0.33
"N2,N2-dimethylguanosine",GL405,CL2355,1.0000,0.6324,1
"N2,N2-dimethylguanine",GL405,CL2355,0.0535,0.1625,0.5
8-hydroxyguanine,GL405,CL2355,0.0375,0.1376,9.71
2'-deoxyguanosine 5'-monophosphate (dGMP),GL405,CL2355,0.0828,0.1975,2.11
2'-deoxyguanosine,GL405,CL2355,0.1955,0.3139,0.39
N-carbamoylaspartate,GL405,CL2355,0.7424,0.5626,1.02
dihydroorotate,GL405,CL2355,0.8956,0.6058,1.04
orotate,GL405,CL2355,0.4607,0.4547,1.51
orotidine,GL405,CL2355,0.7591,0.5664,0.87
uridine 5'-diphosphate (UDP),GL405,CL2355,0.5378,0.4894,1.29
uridine 5'-monophosphate (UMP),GL405,CL2355,0.0852,0.1975,2.69
uridine 3'-monophosphate (3'-UMP),GL405,CL2355,0.3924,0.4296,2.41
"uridine-2',3'-cyclic monophosphate",GL405,CL2355,0.2212,0.3301,2.62
uridine,GL405,CL2355,0.3750,0.4230,1.37
uracil,GL405,CL2355,0.8008,0.5836,0.79
pseudouridine,GL405,CL2355,0.2196,0.3301,0.47
"5,6-dihydrouridine",GL405,CL2355,0.7154,0.5580,0.74
2'-O-methyluridine,GL405,CL2355,0.1631,0.2801,0.52
5-methyluridine (ribothymidine),GL405,CL2355,0.0052,0.0617,0.21
"5,6-dihydrouracil",GL405,CL2355,0.6689,0.5345,1.19
2'-deoxyuridine 5'-monophosphate,GL405,CL2355,0.8751,0.6021,0.85
2'-deoxyuridine,GL405,CL2355,0.0143,0.0868,0.08
3-ureidopropionate,GL405,CL2355,0.2027,0.3192,0.25
beta-alanine,GL405,CL2355,0.9719,0.6322,0.9
3-(3-amino-3-carboxypropyl)uridine*,GL405,CL2355,0.1105,0.2262,0.74
cytidine diphosphate,GL405,CL2355,0.8588,0.5959,1.08
cytidine 5'-monophosphate (5'-CMP),GL405,CL2355,0.0769,0.1932,2.15
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),GL405,CL2355,0.5010,0.4774,1.53
"cytidine 2',3'-cyclic monophosphate",GL405,CL2355,0.5507,0.4935,1.51
cytidine,GL405,CL2355,0.4742,0.4646,1.52
cytosine,GL405,CL2355,0.6433,0.5270,0.55
3-methylcytidine,GL405,CL2355,0.4459,0.4498,0.62
5-methylcytidine,GL405,CL2355,0.4067,0.4372,0.39
2'-deoxycytidine 5'-monophosphate,GL405,CL2355,0.6090,0.5143,0.69
2'-deoxycytidine,GL405,CL2355,0.0888,0.2025,0.22
2'-O-methylcytidine,GL405,CL2355,0.9976,0.6324,1.21
thymidine 5'-monophosphate,GL405,CL2355,0.3728,0.4215,1.66
thymidine,GL405,CL2355,0.0367,0.1367,0.19
thymine,GL405,CL2355,0.6807,0.5424,0.41
"5,6-dihydrothymine",GL405,CL2355,0.5370,0.4894,0.6
3-aminoisobutyrate,GL405,CL2355,0.1366,0.2577,1.83
methylphosphate,GL405,CL2355,0.0814,0.1975,0.13
(3'-5')-adenylylcytidine,GL405,CL2355,0.2076,0.3217,2.24
(3'-5')-adenylylguanosine*,GL405,CL2355,0.2943,0.3679,2.41
(3'-5')-adenylyluridine,GL405,CL2355,0.8352,0.5888,0.73
(3'-5')-adenylyladenosine*,GL405,CL2355,0.4098,0.4372,1.6
(3'-5')-cytidylyladenosine,GL405,CL2355,0.4177,0.4385,2.31
(3'-5')-cytidylylcytidine*,GL405,CL2355,0.1463,0.2668,3.1
(3'-5')-cytidylylguanosine,GL405,CL2355,1.0000,0.6324,1
(3'-5')-cytidylyluridine*,GL405,CL2355,0.5092,0.4805,0.31
(3'-5')-guanylylcytidine,GL405,CL2355,0.2444,0.3409,2.35
(3'-5')-guanylyluridine,GL405,CL2355,1.0000,0.6324,1
(3'-5')-uridylylcytidine*,GL405,CL2355,0.2941,0.3679,1.61
(3'-5')-uridylyluridine,GL405,CL2355,0.5616,0.4959,0.54
(3'-5')-uridylyladenosine,GL405,CL2355,0.2880,0.3657,0.27
quinolinate,GL405,CL2355,0.1486,0.2687,0.49
nicotinate,GL405,CL2355,0.2866,0.3657,1.25
nicotinate ribonucleoside,GL405,CL2355,0.0136,0.0866,0.07
nicotinic acid mononucleotide (NaMN),GL405,CL2355,0.0661,0.1790,0.33
nicotinamide,GL405,CL2355,0.4133,0.4372,0.54
nicotinamide ribonucleotide (NMN),GL405,CL2355,0.9273,0.6204,0.79
nicotinamide riboside,GL405,CL2355,0.0466,0.1539,0.33
nicotinamide adenine dinucleotide (NAD+),GL405,CL2355,0.1425,0.2647,0.33
6-hydroxynicotinate,GL405,CL2355,0.4571,0.4525,0.42
trigonelline (N'-methylnicotinate),GL405,CL2355,0.6111,0.5143,0.72
riboflavin (vitamin B2),GL405,CL2355,0.0134,0.0866,1.69
flavin adenine dinucleotide (FAD),GL405,CL2355,0.5300,0.4868,0.76
flavin mononucleotide (FMN),GL405,CL2355,0.9940,0.6324,0.99
pantoate,GL405,CL2355,0.3072,0.3821,0.5
pantothenate,GL405,CL2355,0.7101,0.5580,1.08
pantethine,GL405,CL2355,0.1495,0.2687,0.34
pantetheine,GL405,CL2355,0.0474,0.1543,2.67
phosphopantetheine,GL405,CL2355,0.3190,0.3892,1.87
3'-dephosphocoenzyme A,GL405,CL2355,0.0902,0.2044,2.84
coenzyme A,GL405,CL2355,0.9723,0.6322,0.92
ascorbate (vitamin C),GL405,CL2355,0.7347,0.5626,1.02
dehydroascorbate,GL405,CL2355,0.2850,0.3652,1.33
threonate,GL405,CL2355,0.0302,0.1282,1.79
gulonate*,GL405,CL2355,0.9714,0.6322,0.96
biotin,GL405,CL2355,0.0089,0.0771,2.2
5-methyltetrahydrofolate (5MeTHF),GL405,CL2355,0.4021,0.4354,1.66
biopterin,GL405,CL2355,0.2453,0.3409,1.52
dihydrobiopterin,GL405,CL2355,0.4911,0.4722,1.29
pterin,GL405,CL2355,0.3235,0.3910,0.57
xanthopterin,GL405,CL2355,0.4348,0.4453,1.41
protoporphyrin IX,GL405,CL2355,0.0014,0.0398,0.04
heme,GL405,CL2355,0.4142,0.4372,9.32
biliverdin,GL405,CL2355,0.0234,0.1101,2.11
thiamin (vitamin B1),GL405,CL2355,0.3355,0.3970,1.62
thiamin monophosphate,GL405,CL2355,0.3168,0.3890,1.21
thiamin diphosphate,GL405,CL2355,0.5535,0.4935,0.31
carotene diol (1),GL405,CL2355,0.6386,0.5249,1.26
pyridoxamine,GL405,CL2355,0.4917,0.4722,1.32
pyridoxamine phosphate,GL405,CL2355,0.0987,0.2127,0.32
pyridoxal phosphate,GL405,CL2355,0.4249,0.4411,0.75
pyridoxal,GL405,CL2355,0.0588,0.1705,1.82
pyridoxate,GL405,CL2355,0.7127,0.5580,1.2
benzoate,GL405,CL2355,0.2249,0.3311,0.5
4-hydroxybenzoate,GL405,CL2355,0.1787,0.2939,0.54
catechol,GL405,CL2355,0.2282,0.3315,0.31
anthraniloyl-O-glucose,GL405,CL2355,0.0665,0.1790,5.32
1-methylxanthine,GL405,CL2355,0.0420,0.1522,0.07
2-piperidinone,GL405,CL2355,0.1011,0.2151,3.69
3-dehydroshikimate,GL405,CL2355,0.6045,0.5135,0.6
"2,3-dihydroxyisovalerate",GL405,CL2355,0.5620,0.4959,0.57
dipicolinate,GL405,CL2355,1.0000,0.6324,1
2-isopropylmalate,GL405,CL2355,0.0464,0.1539,0.25
3-formylindole,GL405,CL2355,0.4489,0.4499,1.11
